X Coordinate,Y Coordinate,Measured Depth (m),Deviation (True/False),Surface-Casing Weight (kg/m),Production-Casing Size (mm),Production-Casing Weight (kg/m),Bore. Temp. (degC),Prod. Formation,Porosity (fraction),Permeability (darcy),OIL Prod. (e3m3/month)
644.6,506.0,557.0,True.,,177.8,,25.0,Shale-Sand,0.299,54.97,218.77
609.5,512.0,601.0,True.,53.6,177.8,38.7,26.0,Sand,0.298,15.39,354.41
157.3,770.0,2065.0,True.,53.6,139.7,25.3,55.0,Shale,0.05,0.52,0.57
418.8,298.0,1676.4,False.,,114.3,,46.0,Shale-Sand,0.26,1.41,57.22
592.4,468.0,672.0,False.,35.7,139.7,20.8,26.0,Shale-Sand,0.14,5.69,21.8
314.4,463.0,1418.5,True.,,114.3,,0.0,Shale-Sand,0.163,3.8,145.02
243.4,460.0,2048.0,False.,35.7,139.7,23.1,52.0,Shale-Sand,0.136,4.35,95.67
278.0,433.0,3365.0,True.,,114.3,,,Shale-Sand,0.162,2.81,43.92
598.8,518.0,598.0,False.,48.1,177.8,34.2,18.0,Shale-Sand,0.052,1.86,20.85
353.8,331.0,2140.0,False.,,139.7,,57.0,Shale-Sand,0.192,2.96,36.04
628.5,405.0,670.0,False.,,139.7,,25.0,Shale-Sand,0.179,4.24,67.08
200.3,619.0,1891.0,True.,35.7,139.7,23.1,,Shale-Sand,0.197,7.02,156.96
116.3,1073.0,1900.0,True.,53.6,139.7,23.1,70.0,Shale-Sand,0.186,10.35,143.91
559.9,267.0,1094.0,True.,35.7,139.7,23.1,25.0,Shale-Sand,0.105,2.89,32.06
415.1,309.0,1668.2,False.,,114.3,,53.0,Shale-Sand,0.033,0.87,6.67
189.3,761.0,2380.0,False.,35.7,139.7,25.3,67.0,Shale,0.0,0.26,0.34
607.0,556.0,484.0,True.,53.6,177.8,34.2,22.0,Shale-Sand,0.161,1.96,52.52
611.5,447.0,684.0,False.,48.7,177.8,25.3,28.0,Shale-Sand,0.137,3.46,24.49
336.1,435.0,1927.0,False.,35.7,139.7,23.1,58.0,Shale-Sand,0.126,1.71,14.86
608.0,617.0,672.6,True.,,177.8,,28.0,Shale-Sand,0.083,0.75,3.53
353.5,879.0,1457.0,False.,62.5,139.7,23.1,34.0,Shale-Sand,0.101,0.32,8.0
587.7,547.0,548.0,False.,48.1,177.8,38.7,24.0,Shale-Sand,0.116,1.93,54.54
360.2,457.0,1279.0,True.,35.7,139.7,20.8,38.0,Shale-Sand,0.111,1.65,30.07
113.8,1161.0,1795.0,False.,53.6,,,65.0,Shale-Sand,0.149,1.76,15.59
417.6,294.0,1717.5,False.,,114.3,,114.0,Shale-Sand,0.132,2.57,14.48
543.7,144.0,994.0,False.,,114.3,,26.0,Shale-Sand,0.106,5.85,41.8
607.8,111.0,858.0,False.,35.7,139.7,20.8,34.0,Shale,0.0,0.24,0.25
594.8,461.0,2187.0,True.,62.5,,,,Shale-Sand,0.154,2.57,16.65
595.0,602.0,385.0,False.,,177.8,38.7,18.0,Shale-Sand,0.115,2.12,17.41
443.6,474.0,1015.0,False.,35.7,114.3,14.1,34.0,Shale-Sand,0.165,0.98,50.67
532.4,393.0,908.3,False.,,114.3,,29.0,Shale-Sand,0.129,1.11,16.87
304.4,348.0,2590.8,False.,,139.7,,54.0,Shale-Sand,0.159,1.59,21.97
203.9,625.0,3048.0,False.,,139.7,,89.0,Shale-Sand,0.117,1.02,17.04
386.5,206.0,2074.0,False.,35.7,139.7,23.1,53.0,Shale,0.034,0.43,0.69
578.6,596.0,500.0,True.,53.6,177.8,29.8,21.0,Sand,0.335,17.84,595.14
577.0,602.0,510.0,False.,48.1,177.8,25.3,28.0,Shale-Sand,0.181,1.12,46.68
606.7,572.0,581.8,True.,48.1,177.8,25.3,26.0,Shale-Sand,0.196,10.3,125.95
436.1,337.0,1998.0,True.,35.7,139.7,23.1,65.0,Shale-Sand,0.174,3.46,34.7
571.3,603.0,633.0,True.,53.6,177.8,34.2,22.0,Shale-Sand,0.13,0.33,6.77
266.7,465.0,4257.0,True.,35.7,139.7,29.8,,Shale-Sand,0.196,2.9,54.58
356.7,415.0,2218.0,True.,53.6,139.7,23.1,62.0,Shale-Sand,0.134,3.55,7.95
175.1,786.0,2176.6,True.,,114.3,,58.0,Shale-Sand,0.167,14.14,28.64
443.7,545.0,1002.5,True.,,177.8,,31.0,Shale-Sand,0.183,7.37,171.83
598.5,325.0,2167.8,True.,35.7,114.3,17.3,,Shale-Sand,0.14,3.17,65.73
307.6,373.0,2260.0,False.,,139.7,,54.0,Shale-Sand,0.228,6.6,92.95
268.6,602.0,2805.0,False.,53.6,177.8,38.7,84.0,Shale-Sand,0.14,2.28,5.13
126.7,1133.0,1645.9,False.,,177.8,,54.0,Shale-Sand,0.068,1.09,4.63
399.6,500.0,1544.7,False.,,177.8,,53.0,Shale-Sand,0.104,1.64,29.71
447.6,540.0,948.8,True.,,177.8,,29.0,Sand,0.214,24.14,305.11
73.5,954.0,2441.0,True.,53.5,139.7,25.3,,Shale-Sand,0.173,20.07,175.06
416.6,533.0,1154.0,True.,35.7,139.7,20.8,40.0,Shale-Sand,0.281,1.64,131.8
603.2,526.0,575.0,False.,48.1,177.8,29.8,19.0,Shale-Sand,0.043,0.88,11.5
306.8,453.0,1729.0,True.,35.7,139.7,23.1,,Shale-Sand,0.217,4.84,48.45
523.0,377.0,2141.0,True.,48.1,,,,Shale-Sand,0.158,1.76,44.43
386.2,312.0,4453.0,True.,53.6,114.3,20.1,,Shale-Sand,0.24,6.14,75.75
634.6,367.0,825.0,False.,35.7,139.7,20.8,30.0,Shale-Sand,0.228,5.55,72.72
595.8,525.0,646.0,True.,,177.8,,24.0,Sand,0.271,13.27,337.67
592.9,434.0,661.0,False.,35.7,139.7,20.8,,Shale-Sand,0.157,3.25,57.94
569.7,148.0,1654.0,True.,48.1,,,,Shale-Sand,0.235,6.11,118.52
541.9,185.0,993.6,False.,,177.8,,,Shale-Sand,0.189,7.85,56.78
309.2,785.0,1764.8,False.,,139.7,,51.0,Shale-Sand,0.157,3.02,53.32
620.2,382.0,874.0,True.,35.7,139.7,20.8,31.0,Shale-Sand,0.196,10.89,90.14
528.8,377.0,1025.0,True.,35.7,139.7,20.8,26.0,Shale-Sand,0.26,9.53,183.85
423.1,274.0,2011.7,False.,,139.7,,51.0,Shale-Sand,0.059,0.21,7.6
412.6,391.0,1966.0,True.,,114.3,,69.0,Shale-Sand,0.182,9.77,245.52
532.0,165.0,1009.2,False.,,114.3,,31.0,Shale-Sand,0.204,2.3,44.79
379.4,540.0,1266.0,True.,35.7,139.7,20.8,35.0,Shale-Sand,0.258,12.04,186.62
523.8,174.0,1032.0,True.,35.7,139.7,20.8,31.0,Shale-Sand,0.181,7.02,175.07
512.3,119.0,1410.0,False.,35.7,139.7,20.8,35.0,Shale-Sand,0.057,0.56,7.98
302.3,622.0,3191.6,True.,53.6,,,,Shale-Sand,0.239,5.65,74.32
493.1,88.0,1022.0,False.,,139.7,,36.0,Shale-Sand,0.128,2.41,33.18
503.4,224.0,932.7,True.,,114.3,,28.0,Shale-Sand,0.179,6.66,138.27
587.2,611.0,694.0,True.,48.1,177.8,25.3,23.0,Shale-Sand,0.142,4.01,56.78
122.8,1129.0,1612.4,True.,,,,61.0,Shale-Sand,0.093,0.99,7.86
84.9,1063.0,1942.0,False.,,,,81.0,Shale-Sand,0.171,4.31,27.89
614.3,490.0,620.0,False.,,177.8,,26.0,Shale-Sand,0.176,4.8,49.48
149.6,680.0,1808.0,False.,35.7,139.1,23.1,56.0,Shale-Sand,0.202,1.04,30.16
473.1,88.0,1110.0,True.,,114.3,,27.0,Shale-Sand,0.232,13.55,225.25
597.6,523.0,602.0,False.,48.7,177.8,34.2,20.0,Shale-Sand,0.114,0.95,12.84
473.8,88.0,1115.0,False.,35.7,139.7,20.8,31.0,Shale-Sand,0.134,1.21,25.59
549.6,150.0,1008.0,False.,35.7,139.7,20.8,32.0,Shale-Sand,0.187,1.96,16.31
559.0,369.0,840.0,True.,,114.3,,32.0,Shale-Sand,0.207,16.62,110.96
455.9,374.0,1395.0,False.,,139.7,,45.0,Shale-Sand,0.176,3.45,59.74
423.5,283.0,1699.3,False.,,114.3,,44.0,Shale,0.009,0.11,0.24
541.7,147.0,986.0,False.,,139.7,,28.0,Shale-Sand,0.258,16.63,81.56
613.1,492.0,613.7,False.,,177.8,,27.0,Shale-Sand,0.061,0.99,7.53
427.0,555.0,2090.0,True.,25.3,114.3,17.3,,Shale-Sand,0.23,3.29,64.01
109.0,1086.0,1800.0,False.,53.6,139.7,20.8,75.0,Shale-Sand,0.196,8.71,78.31
574.6,616.0,738.0,True.,48.1,177.8,25.3,24.0,Shale-Sand,0.193,2.96,74.77
421.5,361.0,1977.0,True.,35.7,139.7,25.3,,Shale-Sand,0.218,10.98,72.71
91.3,766.0,1431.0,False.,35.7,139.7,20.8,46.0,Shale-Sand,0.047,1.51,13.58
609.8,632.0,800.0,True.,,114.3,34.2,,Shale,0.0,0.29,0.64
534.6,437.0,1703.0,True.,48.0,,,,Shale-Sand,0.177,2.23,61.31
348.8,181.0,2429.6,False.,,177.8,,,Shale-Sand,0.161,1.91,13.47
594.7,526.0,624.0,False.,48.7,177.8,34.2,30.0,Shale-Sand,0.144,6.16,38.5
594.8,535.0,662.5,True.,53.6,177.8,25.3,26.0,Shale-Sand,0.166,7.4,261.3
294.7,404.0,2160.0,False.,,139.7,,54.0,Shale-Sand,0.053,0.51,6.0
100.2,1085.0,1932.0,False.,35.7,139.7,20.8,78.0,Shale-Sand,0.152,3.71,57.44
617.8,461.0,722.0,False.,,177.8,,26.0,Shale,0.0,0.22,0.4
593.4,467.0,668.0,False.,48.1,177.8,29.8,19.0,Shale-Sand,0.118,1.99,8.94
639.1,471.0,632.5,False.,,177.8,,29.0,Shale-Sand,0.147,0.98,10.75
407.7,521.0,1524.9,False.,,177.8,,43.0,Shale-Sand,0.191,1.98,78.26
633.5,524.0,616.0,True.,48.1,177.8,29.8,26.0,Shale,0.036,1.21,0.78
75.1,836.0,1215.0,False.,35.7,139.7,23.1,41.0,Shale-Sand,0.098,1.24,22.47
641.2,459.0,671.5,False.,,177.8,,32.0,Shale-Sand,0.17,24.72,80.06
326.8,474.0,1386.0,False.,35.7,139.7,23.1,,Shale-Sand,0.148,2.01,48.11
522.9,173.0,1048.5,True.,,114.3,,39.0,Shale-Sand,0.209,5.2,144.39
514.3,181.0,3075.0,True.,48.1,,,,Shale-Sand,0.252,8.67,161.7
298.8,471.0,1600.2,False.,,114.3,,35.0,Shale-Sand,0.143,2.17,25.85
451.4,524.0,1045.0,True.,35.7,114.3,14.1,31.0,Shale-Sand,0.071,5.19,13.44
645.5,350.0,818.0,False.,35.7,139.7,20.8,25.0,Shale-Sand,0.099,4.87,8.68
618.1,618.0,485.0,True.,,298.4,59.5,,Shale-Sand,0.133,0.89,11.69
496.3,130.0,1036.0,False.,35.7,139.7,20.8,30.0,Shale-Sand,0.206,2.93,70.21
578.7,595.0,388.0,True.,53.6,177.8,34.2,29.0,Shale,0.008,0.76,0.68
627.3,526.0,574.0,True.,53.6,177.8,34.2,18.0,Shale-Sand,0.166,2.31,10.35
609.0,621.0,537.0,True.,,177.8,34.2,23.0,Shale-Sand,0.032,0.99,21.15
640.6,392.0,800.0,True.,,139.7,,29.0,Shale-Sand,0.141,6.04,127.05
291.2,459.0,1793.7,False.,,139.7,,45.0,Shale-Sand,0.055,1.03,12.38
612.8,422.0,699.0,False.,48.7,177.8,29.8,28.0,Shale-Sand,0.132,4.15,63.13
600.8,545.0,609.0,True.,48.1,177.8,25.3,22.0,Shale-Sand,0.253,3.3,29.82
600.1,503.0,696.0,True.,53.6,177.8,34.2,10.0,Shale-Sand,0.104,1.24,13.57
631.7,526.0,601.0,True.,53.6,177.8,34.2,14.0,Shale-Sand,0.231,6.88,83.91
607.1,488.0,690.0,True.,53.6,177.8,34.2,23.0,Shale-Sand,0.037,0.58,4.16
104.9,1085.0,2042.5,True.,,177.8,,65.0,Shale-Sand,0.086,1.31,5.58
342.9,484.0,2011.0,True.,48.0,139.7,25.3,49.0,Shale-Sand,0.229,8.88,266.5
594.2,515.0,650.0,False.,48.1,177.8,29.8,16.0,Shale-Sand,0.103,5.54,39.36
495.7,86.0,1199.0,True.,35.7,139.7,20.8,40.0,Shale-Sand,0.148,1.45,31.45
638.5,400.0,676.7,True.,,114.3,,30.0,Shale-Sand,0.298,12.61,210.74
503.7,168.0,1101.0,False.,,139.7,,32.0,Shale,0.02,0.32,0.88
329.3,573.0,1430.0,False.,,139.7,,44.0,Shale-Sand,0.069,1.02,2.33
615.3,489.0,629.0,False.,,177.8,34.2,24.0,Shale,0.004,0.26,0.52
354.2,372.0,2167.1,False.,,114.3,,56.0,Shale-Sand,0.087,2.52,27.95
616.4,579.0,568.0,True.,48.1,177.8,29.8,26.0,Shale-Sand,0.12,0.86,13.35
69.9,719.0,2585.0,True.,53.6,,,,Shale-Sand,0.116,3.81,51.11
633.6,508.0,550.0,True.,,177.8,,25.0,Shale-Sand,0.304,8.59,200.9
412.3,362.0,1435.6,True.,,114.3,,42.0,Sand,0.343,30.01,327.71
615.3,591.0,508.0,False.,48.1,177.8,29.8,,Shale-Sand,0.07,0.47,1.03
587.4,132.0,1005.0,True.,35.7,139.7,20.8,25.0,Shale-Sand,0.182,9.11,137.58
634.5,530.0,879.0,True.,53.6,177.8,34.2,30.0,Shale-Sand,0.169,0.82,11.5
609.5,113.0,865.0,False.,35.7,139.7,20.8,30.0,Shale-Sand,0.027,1.01,0.93
506.7,485.0,844.0,False.,25.3,114.3,14.1,28.0,Shale,0.089,0.45,0.35
614.6,575.0,557.0,True.,48.1,177.8,25.3,20.0,Shale-Sand,0.165,17.49,109.57
583.4,494.0,1428.0,True.,62.5,,,,Shale-Sand,0.086,3.33,28.74
428.3,363.0,1563.0,False.,,139.7,,45.0,Shale-Sand,0.106,2.45,24.26
130.3,1101.0,1550.0,True.,48.1,139.7,23.1,60.0,Shale-Sand,0.161,3.72,115.08
63.8,954.0,2523.0,False.,35.7,139.7,23.1,77.0,Shale-Sand,0.191,2.85,15.06
399.2,481.0,1560.6,False.,,127.0,,,Shale-Sand,0.0,1.13,9.03
113.0,633.0,3398.0,True.,53.6,114.3,20.1,,Shale-Sand,0.001,0.43,1.43
289.1,478.0,1662.7,False.,,114.3,,,Shale-Sand,0.1,1.78,7.54
526.0,103.0,926.3,False.,,114.3,,33.0,Shale-Sand,0.185,5.84,68.54
521.4,255.0,1150.0,False.,35.7,114.3,14.1,40.0,Shale-Sand,0.105,3.17,11.64
142.6,1137.0,1463.0,True.,,177.8,,52.0,Shale-Sand,0.25,12.55,250.22
492.0,99.0,1045.0,False.,,114.3,,34.0,Shale,0.0,0.19,0.3
604.7,445.0,1948.8,True.,62.5,,,,Sand,0.281,42.75,359.12
615.1,550.0,1837.0,True.,62.5,,,,Shale-Sand,0.207,16.17,118.3
444.0,544.0,1010.7,True.,,177.8,,33.0,Sand,0.312,20.45,286.59
91.6,618.0,2407.0,False.,53.6,,,48.0,Shale-Sand,0.117,1.57,5.06
351.7,476.0,1730.0,False.,,139.7,,46.0,Shale-Sand,0.191,11.24,44.43
596.1,594.0,593.0,True.,53.6,177.8,34.2,25.0,Shale-Sand,0.052,1.03,8.95
555.0,442.0,751.0,False.,35.7,139.7,20.8,28.0,Shale-Sand,0.11,5.38,70.49
606.4,43.0,1087.0,False.,35.7,139.7,23.1,30.0,Shale-Sand,0.135,6.82,35.78
600.3,594.0,597.0,True.,53.6,177.8,34.2,25.0,Sand,0.338,49.1,909.18
536.8,241.0,1097.0,True.,35.7,139.7,20.8,31.0,Shale-Sand,0.046,0.35,2.78
314.8,463.0,1414.0,False.,,114.3,,,Shale-Sand,0.158,1.19,36.81
509.3,116.0,1425.0,True.,35.7,139.7,20.8,40.0,Shale-Sand,0.031,0.64,1.68
131.5,1137.0,1660.0,True.,35.7,,,,Shale-Sand,0.129,1.49,21.63
575.7,602.0,429.5,False.,48.1,177.8,25.3,25.0,Shale-Sand,0.249,2.46,77.89
530.2,393.0,979.5,True.,35.7,114.3,14.1,31.0,Shale-Sand,0.069,3.54,29.23
601.9,597.0,594.0,True.,53.6,177.8,34.2,25.0,Shale-Sand,0.116,2.92,36.63
606.5,463.0,675.7,False.,48.0,177.8,25.3,,Shale-Sand,0.226,1.72,36.06
554.6,443.0,764.0,True.,35.7,139.7,20.8,25.0,Shale-Sand,0.178,12.42,141.72
591.1,546.0,1084.0,True.,53.6,177.8,34.2,34.0,Shale-Sand,0.129,1.44,8.1
565.1,458.0,717.0,False.,35.7,139.7,20.8,,Shale-Sand,0.067,0.41,1.03
466.5,182.0,1444.8,True.,,114.3,,60.0,Shale-Sand,0.233,14.01,172.44
430.5,554.0,1534.0,True.,25.3,114.3,17.3,,Shale-Sand,0.229,4.1,160.6
598.4,546.0,563.0,True.,48.1,177.8,25.0,32.0,Shale-Sand,0.146,4.96,134.88
420.8,364.0,1890.0,False.,,114.3,,51.0,Shale-Sand,0.181,4.48,48.05
313.0,459.0,1481.3,True.,,139.7,,,Shale-Sand,0.055,1.22,2.31
341.6,311.0,2654.8,False.,,114.3,,65.0,Shale-Sand,0.057,2.48,72.31
483.2,101.0,1152.4,False.,,114.3,,35.0,Shale-Sand,0.162,1.27,20.7
359.2,683.0,1813.0,False.,,139.7,,58.0,Shale-Sand,0.0,3.53,11.13
418.0,301.0,1660.0,False.,,114.3,,52.0,Shale-Sand,0.158,1.01,24.96
414.7,361.0,1456.9,False.,,114.3,,40.0,Shale-Sand,0.197,4.26,55.15
375.6,376.0,1938.0,True.,35.7,139.7,25.3,63.0,Shale-Sand,0.178,1.45,71.0
293.0,462.0,1716.6,False.,,139.7,,51.0,Shale-Sand,0.079,5.5,99.74
588.5,596.0,578.0,True.,48.1,177.8,25.3,,Shale-Sand,0.132,3.21,7.81
537.1,241.0,1071.0,False.,35.7,139.7,20.8,34.0,Shale-Sand,0.194,8.77,69.2
114.0,1132.0,1600.0,True.,35.7,139.7,20.8,58.0,Shale-Sand,0.173,3.79,132.09
134.3,1109.0,1531.0,False.,53.6,,,63.0,Shale,0.021,0.42,0.28
606.0,528.0,541.0,False.,,177.8,,20.0,Shale,0.018,0.58,0.9
637.8,421.0,665.0,False.,35.7,139.7,20.8,28.0,Shale-Sand,0.166,1.97,30.49
495.8,95.0,1022.0,False.,35.7,139.7,20.8,35.0,Shale-Sand,0.195,4.42,100.78
179.3,778.0,2192.0,True.,53.6,,,,Shale-Sand,0.163,1.53,33.15
217.8,469.0,2672.0,True.,35.7,139.7,25.3,68.0,Shale-Sand,0.127,16.91,131.08
395.5,485.0,1569.4,True.,,139.7,,,Shale-Sand,0.129,2.42,12.81
496.8,88.0,1087.0,True.,48.1,139.7,23.1,38.0,Shale-Sand,0.117,2.0,38.04
306.5,372.0,2265.0,False.,,139.7,,55.0,Shale-Sand,0.201,2.83,78.43
345.9,306.0,3601.0,True.,48.1,114.3,17.3,,Shale-Sand,0.112,2.12,30.53
645.9,350.0,817.0,True.,35.7,139.7,20.8,28.0,Sand,0.254,15.38,440.9
419.1,291.0,1717.0,True.,35.7,139.7,23.1,51.0,Shale-Sand,0.226,20.85,190.33
607.1,114.0,844.0,True.,35.7,139.7,20.8,27.0,Shale-Sand,0.078,1.28,1.94
496.5,88.0,1151.0,True.,48.1,139.7,23.1,36.0,Shale-Sand,0.145,1.73,21.44
303.2,482.0,1479.5,True.,,114.3,,42.0,Shale-Sand,0.207,2.6,134.54
596.6,456.0,807.0,True.,48.1,177.8,25.3,27.0,Shale-Sand,0.201,17.02,124.28
348.6,703.0,1688.0,False.,81.1,,,49.0,Shale-Sand,0.102,1.63,24.23
606.8,585.0,490.0,False.,,139.7,,25.0,Shale-Sand,0.133,2.3,16.84
616.3,619.0,668.8,True.,60.3,177.8,34.2,24.0,Shale-Sand,0.108,2.87,25.64
511.0,145.0,1076.0,False.,35.7,139.7,20.8,33.0,Shale-Sand,0.176,14.42,105.53
600.8,481.0,635.0,False.,48.0,177.8,34.2,25.0,Shale-Sand,0.171,1.99,18.06
634.4,479.0,608.0,True.,48.1,177.8,34.2,,Shale-Sand,0.043,1.48,25.07
389.5,492.0,1818.1,False.,,177.8,,124.0,Shale-Sand,0.191,1.68,13.48
598.3,534.0,510.0,False.,,177.8,,24.0,Shale-Sand,0.157,2.02,10.94
525.0,174.0,1049.0,True.,35.7,139.7,20.8,29.0,Shale-Sand,0.152,5.95,41.99
479.2,91.0,1024.0,False.,35.7,114.3,14.1,35.0,Shale-Sand,0.109,2.45,5.3
341.8,535.0,1441.7,False.,,114.3,,38.0,Shale,0.0,0.77,0.4
617.9,479.0,693.5,True.,48.1,177.8,25.3,,Shale-Sand,0.159,4.05,129.4
584.1,600.0,572.0,True.,48.1,178.0,29.3,22.0,Shale,0.0,0.13,0.33
99.8,1076.0,1882.0,False.,53.6,,,54.0,Shale-Sand,0.116,2.35,15.15
347.3,338.0,2146.0,False.,,139.7,,66.0,Shale-Sand,0.168,1.61,34.54
609.5,112.0,861.0,False.,35.7,139.7,23.1,30.0,Shale-Sand,0.09,1.37,2.49
607.4,618.0,555.0,False.,,177.8,,22.0,Shale-Sand,0.15,3.19,28.5
379.9,439.0,2234.0,False.,53.6,,,58.0,Shale-Sand,0.149,3.84,65.37
588.6,596.0,614.0,True.,48.1,177.8,25.3,25.0,Shale-Sand,0.209,16.6,203.54
259.0,839.0,1569.4,False.,,139.7,,57.0,Shale-Sand,0.142,1.23,3.02
286.1,833.0,1572.0,False.,53.6,139.7,20.8,36.0,Shale-Sand,0.16,7.72,100.4
604.0,546.0,624.0,True.,,177.8,25.3,26.0,Shale-Sand,0.175,3.71,93.51
609.8,586.0,411.5,True.,,177.8,,24.0,Shale-Sand,0.273,13.88,150.01
605.6,525.0,2369.0,True.,62.5,,,,Shale-Sand,0.032,0.52,8.05
643.0,481.0,608.4,False.,,177.8,,26.0,Shale,0.016,0.27,0.27
499.0,84.0,1170.0,True.,35.7,114.3,14.1,35.0,Shale-Sand,0.195,5.91,57.21
107.6,1130.0,1623.0,True.,53.6,177.8,34.2,56.0,Shale-Sand,0.187,3.98,21.39
602.6,542.0,756.0,True.,48.1,177.8,34.2,26.0,Shale-Sand,0.076,0.48,2.41
310.6,382.0,2091.5,False.,,114.3,,53.0,Shale-Sand,0.055,0.72,15.15
442.7,551.0,996.7,True.,,177.8,,48.0,Sand,0.24,26.72,350.41
352.4,477.0,1669.0,False.,,139.7,,54.0,Shale-Sand,0.2,6.48,63.48
396.3,490.0,1623.1,True.,,177.8,,53.0,Shale-Sand,0.268,6.51,143.89
555.8,443.0,750.0,False.,35.7,139.7,20.8,27.0,Shale-Sand,0.186,11.28,103.89
333.6,430.0,3226.0,True.,48.1,,,,Shale-Sand,0.183,1.58,23.06
601.7,421.0,2238.0,True.,48.1,,,,Sand,0.298,17.92,287.71
117.2,1164.0,1835.0,True.,53.6,177.8,34.2,,Shale-Sand,0.106,0.55,6.82
558.1,445.0,795.0,True.,25.3,139.7,20.8,30.0,Shale-Sand,0.14,4.06,29.83
435.2,417.0,1657.0,False.,,139.7,,49.0,Shale-Sand,0.189,2.94,98.96
557.4,164.0,1070.0,True.,35.7,139.7,20.8,25.0,Shale-Sand,0.177,9.42,71.17
508.8,69.0,1005.8,False.,,114.3,,29.0,Shale-Sand,0.116,3.62,42.51
527.6,143.0,1013.0,False.,35.7,139.7,20.8,31.0,Shale-Sand,0.174,3.2,25.94
604.8,482.0,672.0,True.,53.6,177.8,34.2,24.0,Shale-Sand,0.139,0.72,20.9
401.8,515.0,1445.7,False.,,177.8,,138.0,Shale-Sand,0.067,1.68,38.15
645.1,383.0,820.0,False.,,177.8,,29.0,Shale-Sand,0.064,0.44,1.48
470.8,132.0,1187.0,False.,35.7,139.7,23.1,33.0,Shale-Sand,0.128,3.3,12.68
406.7,365.0,1511.8,False.,,177.8,,43.0,Shale-Sand,0.139,1.11,11.97
616.3,354.0,889.0,True.,35.7,139.7,20.8,33.0,Shale-Sand,0.201,2.44,64.25
299.7,440.0,1764.2,False.,,139.7,,49.0,Shale-Sand,0.181,4.73,49.32
460.0,336.0,1627.9,True.,,177.8,,,Shale-Sand,0.226,15.72,231.57
313.2,373.0,2103.1,True.,,114.3,,51.0,Shale-Sand,0.176,7.37,134.05
306.7,386.0,2118.4,True.,,114.3,,51.0,Shale-Sand,0.058,0.24,6.02
313.1,366.0,2220.0,False.,53.6,177.8,38.7,65.0,Shale,0.051,1.38,0.55
610.0,624.0,560.0,True.,,177.8,34.2,22.0,Shale-Sand,0.141,3.43,52.51
317.1,769.0,1763.0,False.,53.6,177.8,34.2,43.0,Shale-Sand,0.207,3.85,105.82
592.0,608.0,623.5,True.,53.6,177.8,34.2,20.0,Shale-Sand,0.102,2.14,4.25
645.9,384.0,827.5,False.,,177.8,,21.0,Shale-Sand,0.073,2.18,29.32
116.0,1133.0,1630.0,False.,53.6,177.8,34.2,66.0,Shale-Sand,0.0,1.36,3.44
376.0,467.0,2383.0,True.,53.6,,,,Shale-Sand,0.042,1.38,2.62
418.2,359.0,1414.3,False.,,114.3,,,Shale-Sand,0.126,1.7,2.5
64.4,874.0,1470.0,True.,35.7,139.7,25.3,47.0,Shale-Sand,0.052,4.39,14.93
383.4,444.0,2164.1,False.,,177.8,,174.0,Shale,0.031,0.63,0.7
309.6,370.0,2240.0,False.,,139.7,,57.0,Shale-Sand,0.101,4.18,44.88
115.0,1115.0,2484.2,True.,48.1,,,,Shale-Sand,0.0,0.47,0.96
607.4,585.0,398.0,True.,,177.8,,19.0,Shale-Sand,0.188,3.21,89.05
449.7,325.0,1411.2,True.,,139.7,,43.0,Sand,0.206,10.65,282.61
646.7,352.0,820.0,False.,48.1,177.8,29.8,28.0,Shale-Sand,0.104,0.69,2.33
301.1,396.0,2135.0,False.,35.7,139.7,25.3,61.0,Shale-Sand,0.066,2.19,5.5
492.2,101.0,1059.0,False.,35.7,139.7,20.8,32.0,Shale,0.093,0.2,0.24
574.5,380.0,961.0,True.,35.7,139.7,20.8,28.0,Shale-Sand,0.25,15.27,235.89
554.2,443.0,753.0,False.,35.7,139.7,20.8,28.0,Shale-Sand,0.102,0.52,3.64
499.9,85.0,1048.0,True.,,114.3,,29.0,Shale-Sand,0.222,6.43,100.37
600.9,541.0,463.0,True.,48.1,177.8,34.2,25.0,Shale-Sand,0.038,0.57,1.22
577.7,608.0,396.2,False.,,177.8,,27.0,Shale-Sand,0.142,2.98,23.06
153.7,1153.0,1691.6,True.,,177.8,,61.0,Shale-Sand,0.106,4.19,20.0
315.4,380.0,2081.8,False.,,114.3,,54.0,Shale-Sand,0.142,7.24,28.4
584.9,382.0,835.0,True.,,177.8,,27.0,Shale-Sand,0.255,14.85,278.16
351.0,699.0,2025.0,True.,,177.8,,49.0,Shale-Sand,0.18,1.62,25.46
495.7,50.0,995.8,False.,,114.3,,29.0,Shale-Sand,0.151,9.08,70.99
450.5,351.0,1720.0,True.,,114.3,,54.0,Shale-Sand,0.108,7.47,6.74
441.9,552.0,971.7,False.,,177.8,,50.0,Shale-Sand,0.095,2.65,25.09
375.5,541.0,1265.0,False.,35.7,114.3,14.1,38.0,Shale-Sand,0.156,7.93,38.06
553.2,100.0,1000.0,True.,35.7,139.7,20.8,32.0,Shale-Sand,0.242,4.14,70.31
472.6,120.0,1175.0,False.,35.7,139.7,20.8,36.0,Shale-Sand,0.236,1.95,33.55
591.9,912.0,1632.0,True.,130.2,,,42.0,Sand,0.303,38.77,525.42
143.6,1137.0,1615.0,False.,,,,56.0,Shale,0.0,0.3,0.21
535.2,435.0,2278.0,True.,,,,,Shale-Sand,0.192,1.42,42.64
